correctness,Know The Goal,Reciever Closeness,Sender Closeness,Sender Believve,Reciever Believe,Sender Life Ex,Reciever Life Ex,Sender Meditation,Reciever Meditation,Sender illness,Reciever illness,Pain Rate,Time Known
1,1,7,9,1,0,1,1,0,0,0,1,2,21
1,1,7,9,1,0,1,1,0,0,0,1,0,21
1,1,7,9,1,0,1,1,0,0,0,1,0,21
1,0,6,9,0,0,1,0,0,0,0,0,3,10
1,0,6,9,0,0,1,0,0,0,0,0,4,10
0,0,6,9,0,0,1,0,0,0,0,0,0,10
1,0,6,9,0,0,1,0,0,0,0,0,0,10
0,0,6,9,0,0,1,0,0,0,0,0,3,10
0,0,6,9,0,0,1,0,0,0,0,0,0,10
0,0,6,9,0,0,1,0,0,0,0,0,3,10
0,0,6,9,0,0,1,0,0,0,0,0,0,10
1,0,6,9,0,0,1,0,0,0,0,0,3,10
1,0,6,9,0,0,1,0,0,0,0,0,0,10
0,0,6,9,0,0,1,0,0,0,0,0,0,10
0,0,6,9,0,0,1,0,0,0,0,0,4,10
1,1,9,6,0,0,0,1,0,0,0,0,0,10
1,1,9,6,0,0,0,1,0,0,0,0,3,10
0,1,9,6,0,0,0,1,0,0,0,0,3,10
0,1,9,6,0,0,0,1,0,0,0,0,0,10
0,1,9,6,0,0,0,1,0,0,0,0,2,10
1,1,9,6,0,0,0,1,0,0,0,0,0,10
0,1,9,6,0,0,0,1,0,0,0,0,3,10
1,1,9,6,0,0,0,1,0,0,0,0,2,10
1,1,9,6,0,0,0,1,0,0,0,0,1,10
1,1,9,6,0,0,0,1,0,0,0,0,2,10
1,1,9,6,0,0,0,1,0,0,0,0,1,10
